,runtime,num_features,features_per_second,normalized_runtime,normalized_runtime_per_feature,mae,rmse,rsquared
getML: FastProp,0 days 00:00:19.514368,289,14.809549197322433,1.0,1.0,44.19967145096795,63.49476875160757,0.5450488898720095
featuretools,0 days 00:12:02.541075,114,0.15777648751672432,37.02610686648935,93.86410757656537,46.6056648945646,64.02931737674268,0.5488645070483237
tsfresh,0 days 00:01:59.606251,72,0.6019752010296184,6.129137822962035,24.601593507493632,47.11059400765295,66.59998183642728,0.5015240507138585
