,runtime,num_features,features_per_second,normalized_runtime,normalized_runtime_per_feature,accuracy,auc,cross_entropy
getML: FastProp,0 days 00:00:05.660690,289,51.0542706897432,1.0,1.0,0.9889462048636699,0.9982429566688791,0.04624509649060969
featuretools,0 days 00:02:55.882145,103,0.5856192982641073,31.07079613969322,87.17996630418135,0.9880864652419553,0.9971036393912504,0.05063737013006627
tsfresh,0 days 00:00:48.390590,60,1.239910230499312,8.548532069412033,41.175779853984785,0.9877180054040776,0.9978609436533588,0.04935860166671465
