,runtime,num_features,features_per_second,normalized_runtime,normalized_runtime_per_feature,rsquared,rmse,mae
getML: FastProp,0 days 00:00:49.212908,526,10.688214106304978,1.0,1.0,0.674739861410577,7.824273388224941,5.615137721839041
featuretools,0 days 00:05:58.182900,59,0.1647203041000366,7.278230743852812,64.88704695332457,0.6500414383216022,8.67110464844564,6.28455552872203
tsfresh,0 days 00:01:26.650363,12,0.13848758264938932,1.760724300218146,77.17814046450978,0.5778110797835911,8.913407825293008,6.788610043264059
