,runtime,num_features,features_per_second,normalized_runtime,normalized_runtime_per_feature,rsquared,rmse,mae
getML: FastProp,0 days 00:00:00.667496,134,200.7628990162618,1.0,1.0,0.9950588372738192,0.7236222637718679,0.5515208330459932
featuretools,0 days 00:05:36.014673,158,0.47021759319124923,503.3957851432818,426.95743826540854,0.9948004257315357,0.7452864312565746,0.5657953266811849
tsfresh,0 days 00:00:51.376962,120,2.335679133743323,76.96969270227837,85.95482834772135,0.9938361598092297,0.7906022324089085,0.5986000367767544
